"filename", "language", "Python", "comment", "blank", "total"
"/Users/zoltantakacs/_code/py/artegame/architect/import_generator.py", "Python", 0, -4, 0, -4
"/Users/zoltantakacs/_code/py/artegame/src/scenes/game/routines/player.py", "Python", -12, 0, -1, -13
"Total", "-", -12, -4, -1, -17
